No,Nama Barang,Harga Pasaran (Rp),Harga Jual (Rp),Selisih (Rp),Persentase Markup (%),Kategori Markup
1679,RAM Corsair Vengeance 32GB DDR5,2498002,2832124,334122,13.4,Normal
1680,Deodorant Dove Original 150ml,45662,52251,6589,14.4,Normal
1681,Exclusive Hand Sanitizer 100ml,30189,251734,221545,733.9,MARKUP GILA-GILAAN ⚠️
1682,Buku Matematika Kumon Grade 7,63908,78725,14817,23.2,Normal
1683,Kompor Tanam Rinnai 4 Tungku,3401513,3601356,199843,5.9,Normal
1684,Whisky Johnnie Walker Blue Label,1489770,1686755,196985,13.2,Normal
1685,Air Fryer Philips 7L HD9270,1465236,1559534,94298,6.4,Normal
1686,Keju Parmigiano Reggiano 500g,398220,431528,33308,8.4,Normal
1687,VIP Cotton Bud biasa 200pcs,74803,1001148,926345,1238.4,MARKUP GILA-GILAAN ⚠️
1688,Foundation MAC Studio Fix Fluid,554971,584351,29380,5.3,Normal
1689,Limited Selotip bening 1 roll,64541,753636,689095,1067.7,MARKUP GILA-GILAAN ⚠️
1690,Premium Masker medis 3 ply 50pcs,54233,633081,578848,1067.3,MARKUP GILA-GILAAN ⚠️
1691,Cover Mobil All New Silver,477391,543658,66267,13.9,Normal
1692,Protein Whey Optimum Nutrition 5lb,744532,783066,38534,5.2,Normal
1693,Champagne Moet & Chandon 750ml,941574,1024799,83225,8.8,Normal
1694,Pelumas Rem Ate Brake Fluid DOT4,85313,106246,20933,24.5,Normal
1695,Luxury Penggaris 30cm plastik,47681,701957,654276,1372.2,MARKUP GILA-GILAAN ⚠️
1696,Parfum Chanel No. 5 100ml,3429919,4234645,804726,23.5,Normal
1697,Gold Edition Garam Himalaya 500g,33334,369947,336613,1009.8,MARKUP GILA-GILAAN ⚠️
1698,Keju Parmigiano Reggiano 500g,394930,480572,85642,21.7,Normal
1699,Exclusive Tisu Makan Premium 200 lembar,48681,413161,364480,748.7,MARKUP GILA-GILAAN ⚠️
1700,Gold Edition Buku Tulis A5 biasa,48824,254074,205250,420.4,MARKUP GILA-GILAAN ⚠️
1701,Raket Badminton Yonex Astrox 99,3119233,3716704,597471,19.2,Normal
1702,Saus Truffle Urbani 180g,356188,403779,47591,13.4,Normal
1703,Exclusive Penggaris 30cm plastik,10390,154184,143794,1384.0,MARKUP GILA-GILAAN ⚠️
1704,Syal Burberry Classic Check,4799340,5106254,306914,6.4,Normal
1705,RAM Corsair Vengeance 32GB DDR5,2490542,2790578,300036,12.0,Normal
1706,Sony WH-1000XM5 Headphone,4346900,5280395,933495,21.5,Normal
1707,Kacamata Rayban Wayfarer,2587558,2851238,263680,10.2,Normal
1708,Laptop Lenovo ThinkPad X1 Carbon,27895644,33494497,5598853,20.1,Normal
1709,Exclusive Tisu Makan Premium 200 lembar,26823,219691,192868,719.0,MARKUP GILA-GILAAN ⚠️
1710,Premium Selotip bening 1 roll,66151,935247,869096,1313.8,MARKUP GILA-GILAAN ⚠️
1711,Tas Louis Vuitton Neverfull MM,36199446,41803871,5604425,15.5,Normal
1712,SSD Samsung 980 Pro 2TB,2711397,3298261,586864,21.6,Normal
1713,Special Beras Putih Premium 1kg,10833,129257,118424,1093.2,MARKUP GILA-GILAAN ⚠️
1714,Portable Charger Anker 26800mAh,604496,666480,61984,10.3,Normal
1715,Oli Mesin Castrol Edge 5W-40 4L,292829,347306,54477,18.6,Normal
1716,Wagyu A5 Beef 300g,767842,951202,183360,23.9,Normal
1717,Saus Truffle Urbani 180g,360029,426513,66484,18.5,Normal
1718,Barbel Set 20kg Body Gym,790308,969573,179265,22.7,Normal
1719,Pelembab Cetaphil 250ml,143138,175770,32632,22.8,Normal
1720,Wagyu A5 Beef 300g,768235,926927,158692,20.7,Normal
1721,DJI Mini 4 Pro Drone,10566304,12884800,2318496,21.9,Normal
1722,Cover Mobil All New Silver,497553,538270,40717,8.2,Normal
1723,Exclusive Selotip bening 1 roll,13260,194041,180781,1363.4,MARKUP GILA-GILAAN ⚠️
1724,Earphone TWS Sony WF-1000XM5,3574720,3878503,303783,8.5,Normal
1725,Ikat Pinggang Hermes,11669269,13807905,2138636,18.3,Normal
1726,Kulkas Samsung Side by Side 700L,18749131,23417306,4668175,24.9,Normal
1727,Foundation MAC Studio Fix Fluid,600618,662432,61814,10.3,Normal
1728,Celana Jeans Levi's 501,899557,996603,97046,10.8,Normal
1729,Sepatu Running Brooks Ghost 15,1883915,2128374,244459,13.0,Normal
1730,RAM Corsair Vengeance 32GB DDR5,2488704,2747291,258587,10.4,Normal
1731,Granola Organic Uncle Tobys 500g,99193,110185,10992,11.1,Normal
1732,Vacuum Cleaner Dyson V15 Detect,9253141,9747050,493909,5.3,Normal
1733,Granola Organic Uncle Tobys 500g,90845,101499,10654,11.7,Normal
1734,Selai Kacang Skippy Chunky 462g,83321,104022,20701,24.8,Normal
1735,Foundation MAC Studio Fix Fluid,604392,740484,136092,22.5,Normal
1736,Realme GT5 Pro,8267776,8983168,715392,8.7,Normal
1737,Exclusive Sabun Cuci Piring biasa 800ml,18803,205430,186627,992.5,MARKUP GILA-GILAAN ⚠️
1738,Artisan Lem Kertas UHU 21g,31085,409096,378011,1216.1,MARKUP GILA-GILAAN ⚠️
1739,Parfum Dior Sauvage 100ml,2672912,3028639,355727,13.3,Normal
1740,Wagyu A5 Beef 300g,748326,935081,186755,25.0,Normal
1741,Buku Sapiens Yuval Noah Harari,110305,136109,25804,23.4,Normal
1742,Buku Masak Gordon Ramsay Ultimate Cookery,450666,483380,32714,7.3,Normal
1743,Monitor LG UltraWide 34 inch,8195216,9190659,995443,12.1,Normal
1744,Toaster Oven Breville BOV900BSS,5487126,6058523,571397,10.4,Normal
1745,Air Fryer Philips 7L HD9270,1499691,1747220,247529,16.5,Normal
1746,Mesin Espresso De'Longhi La Specialista,12394225,13569012,1174787,9.5,Normal
1747,Dell XPS 15 9530,24192332,29375159,5182827,21.4,Normal
1748,Sepatu Nike Air Jordan 1 High,2491532,2806369,314837,12.6,Normal
1749,Limited Sabun Cuci Piring biasa 800ml,31136,464897,433761,1393.1,MARKUP GILA-GILAAN ⚠️
1750,Whisky Johnnie Walker Blue Label,1468999,1798675,329676,22.4,Normal
1751,Microwave Sharp 27L,1248929,1459492,210563,16.9,Normal
1752,Alarm Mobil Clifford 350X,1734773,2081876,347103,20.0,Normal
1753,Laptop Lenovo ThinkPad X1 Carbon,29235795,33146628,3910833,13.4,Normal
1754,Treadmill NordicTrack Commercial 2950,27415761,29972535,2556774,9.3,Normal
1755,Baju Renang Speedo Fastskin,823424,957386,133962,16.3,Normal
1756,Barbel Set 20kg Body Gym,800002,898046,98044,12.3,Normal
1757,Luxury Sabun Cuci Piring biasa 800ml,30489,293456,262967,862.5,MARKUP GILA-GILAAN ⚠️
1758,Madu Manuka UMF 20+ 500g,863531,986293,122762,14.2,Normal
1759,Novel Harry Potter Complete Set,819548,894232,74684,9.1,Normal
1760,Luxury Beras Putih Premium 1kg,66411,618213,551802,830.9,MARKUP GILA-GILAAN ⚠️
1761,Microwave Sharp 27L,1240974,1506748,265774,21.4,Normal
1762,Granola Organic Uncle Tobys 500g,95025,104876,9851,10.4,Normal
1763,Pelembab Cetaphil 250ml,148044,178675,30631,20.7,Normal
1764,Gold Edition Minuman Teh Kotak 200ml,38561,518972,480411,1245.8,MARKUP GILA-GILAAN ⚠️
1765,Sneakers New Balance 990v6,2823646,3394353,570707,20.2,Normal
1766,VIP Kapas Kecantikan biasa 100pcs,63714,369920,306206,480.6,MARKUP GILA-GILAAN ⚠️
1767,Robot Vacuum Cleaner Roomba j7+,8919456,10988101,2068645,23.2,Normal
1768,Treadmill NordicTrack Commercial 2950,27997237,34846394,6849157,24.5,Normal
1769,Organic Buku Tulis A5 biasa,79297,507853,428556,540.4,MARKUP GILA-GILAAN ⚠️
1770,Portable Charger Anker 26800mAh,617844,750151,132307,21.4,Normal
1771,Premium Air Kelapa kemasan 330ml,24119,340589,316470,1312.1,MARKUP GILA-GILAAN ⚠️
1772,Karpet Mobil Universal All New,365637,385173,19536,5.3,Normal
1773,Kopi Luwak Premium 200g,346190,374636,28446,8.2,Normal
1774,iPhone 15 Pro Max 256GB,22615040,23998979,1383939,6.1,Normal
1775,Laptop Lenovo ThinkPad X1 Carbon,28860967,34631864,5770897,20.0,Normal
1776,Pasta Barilla Linguine 500g,44417,53982,9565,21.5,Normal
1777,OPPO Find X7 Ultra,15704934,17245551,1540617,9.8,Normal
1778,Cover Mobil All New Silver,521413,567675,46262,8.9,Normal
1779,Sepatu Running Brooks Ghost 15,2006240,2340237,333997,16.6,Normal
1780,Air Fryer Philips 7L HD9270,1428682,1670743,242061,16.9,Normal
1781,Sepatu Running Brooks Ghost 15,1932286,2174534,242248,12.5,Normal
1782,Buku Atomic Habits James Clear,100551,124346,23795,23.7,Normal
1783,GoPro Hero 12 Black,6012291,7324081,1311790,21.8,Normal
1784,SSD Samsung 980 Pro 2TB,2741000,2924973,183973,6.7,Normal
1785,Body Lotion Bath & Body Works,367379,423743,56364,15.3,Normal
1786,Hoodie Supreme Box Logo,7833078,8538712,705634,9.0,Normal
1787,Minyak Zaitun Extra Virgin 1L,142990,175834,32844,23.0,Normal
1788,Kompor Tanam Rinnai 4 Tungku,3553687,4383401,829714,23.3,Normal
1789,Kompor Tanam Rinnai 4 Tungku,3475486,4086238,610752,17.6,Normal
1790,Saus Truffle Urbani 180g,343345,371128,27783,8.1,Normal
1791,Dompet Coach Crossgrain Leather,2193126,2547725,354599,16.2,Normal
1792,Mixer KitchenAid Artisan 4.8L,9969604,11840457,1870853,18.8,Normal
1793,Suplemen Vitamin C 1000mg 100 Tab,119065,140196,21131,17.7,Normal
1794,Helm Sepeda Giro Aether MIPS,4388295,4711914,323619,7.4,Normal
1795,Special Lem Kertas UHU 21g,68213,915297,847084,1241.8,MARKUP GILA-GILAAN ⚠️
1796,iPad Pro 12.9 inch M2,17984604,19229156,1244552,6.9,Normal
1797,Pelembab Cetaphil 250ml,151186,168410,17224,11.4,Normal
1798,Kamus Bahasa Inggris Oxford Advanced,257630,321580,63950,24.8,Normal
1799,Samsung Galaxy S24 Ultra,17328586,18289969,961383,5.5,Normal
1800,Samsung Galaxy Watch 6,4600121,4878355,278234,6.0,Normal
1801,Nintendo Switch OLED,4412898,5079491,666593,15.1,Normal
1802,Saus Truffle Urbani 180g,357679,426697,69018,19.3,Normal
1803,Tas Louis Vuitton Neverfull MM,33266284,38089296,4823012,14.5,Normal
1804,Wagyu A5 Beef 300g,759044,925040,165996,21.9,Normal
1805,Cokelat Valrhona 70% 1kg,437172,509735,72563,16.6,Normal
1806,Oli Mesin Castrol Edge 5W-40 4L,283885,315966,32081,11.3,Normal
1807,Novel Harry Potter Complete Set,832139,997022,164883,19.8,Normal
1808,Realme GT5 Pro,7921682,8817192,895510,11.3,Normal
1809,Barbel Set 20kg Body Gym,784602,921293,136691,17.4,Normal
1810,Buku Masak Gordon Ramsay Ultimate Cookery,427992,474833,46841,10.9,Normal
1811,Samsung Galaxy S24 Ultra,17402483,21207269,3804786,21.9,Normal
1812,Ultra Cotton Bud biasa 200pcs,22662,353000,330338,1457.7,MARKUP GILA-GILAAN ⚠️
1813,Limited Obat Paracetamol 500mg strip,34834,315886,281052,806.8,MARKUP GILA-GILAAN ⚠️
1814,VIP Masker medis 3 ply 50pcs,46400,605150,558750,1204.2,MARKUP GILA-GILAAN ⚠️
1815,Kopi Luwak Premium 200g,335120,385254,50134,15.0,Normal
1816,Foundation MAC Studio Fix Fluid,573933,692808,118875,20.7,Normal
1817,Robot Vacuum Cleaner Roomba j7+,8750564,10013124,1262560,14.4,Normal
1818,Matras Yoga Manduka PRO 6mm,1754929,1876890,121961,6.9,Normal
1819,Mesin Cuci Samsung Front Load 9kg,5435229,6518829,1083600,19.9,Normal
1820,Exclusive Beras Putih Premium 1kg,13624,175060,161436,1184.9,MARKUP GILA-GILAAN ⚠️
1821,Toaster Oven Breville BOV900BSS,5451251,6349193,897942,16.5,Normal
1822,Organic Beras Putih Premium 1kg,8761,103152,94391,1077.4,MARKUP GILA-GILAAN ⚠️
1823,Keyboard Mechanical Keychron Q1,2202608,2381891,179283,8.1,Normal
1824,Masker Rambut Olaplex No.8 100ml,398153,445829,47676,12.0,Normal
1825,Router WiFi 6 ASUS AX6000,3569146,3811406,242260,6.8,Normal
1826,Premium Garam Himalaya 500g,77280,589075,511795,662.3,MARKUP GILA-GILAAN ⚠️
1827,Karpet Mobil Universal All New,335528,370717,35189,10.5,Normal
1828,Shampo Kerastase Bain Satin 250ml,361206,391933,30727,8.5,Normal
1829,Blush On NARS Orgasm,465081,570401,105320,22.6,Normal
1830,Xbox Series X,7969373,9856986,1887613,23.7,Normal
1831,Buku Rich Dad Poor Dad Robert Kiyosaki,98684,106411,7727,7.8,Normal
1832,Water Purifier Coway AP-1512HH,3329085,4117438,788353,23.7,Normal
1833,Jam Tangan Rolex Submariner,147947831,160032472,12084641,8.2,Normal
1834,Anggur Red Wine Bordeaux,632419,753222,120803,19.1,Normal
1835,Buku Sapiens Yuval Noah Harari,117751,138480,20729,17.6,Normal
1836,Protein Whey Optimum Nutrition 5lb,749885,880872,130987,17.5,Normal
1837,Kacamata Rayban Wayfarer,2573856,3182234,608378,23.6,Normal
1838,Artisan Tisu Makan Premium 200 lembar,47735,350532,302797,634.3,MARKUP GILA-GILAAN ⚠️
1839,Novel Harry Potter Complete Set,889302,1065096,175794,19.8,Normal
1840,Helm Sepeda Giro Aether MIPS,4416393,5254896,838503,19.0,Normal
1841,Samsung Galaxy S24 Ultra,18243348,19418472,1175124,6.4,Normal
1842,Xbox Series X,8232800,9457658,1224858,14.9,Normal
1843,Kamus Bahasa Inggris Oxford Advanced,249539,291044,41505,16.6,Normal
1844,Luxury Kapas Kecantikan biasa 100pcs,47713,254604,206891,433.6,MARKUP GILA-GILAAN ⚠️
1845,Krim Malam La Mer Moisturizing 60ml,4364930,5336459,971529,22.3,Normal
1846,Selai Kacang Skippy Chunky 462g,87580,92364,4784,5.5,Normal
1847,Exclusive Keripik Kentang Lays Original 75g,6607,61680,55073,833.6,MARKUP GILA-GILAAN ⚠️
1848,Helm Sepeda Giro Aether MIPS,4279599,5338843,1059244,24.8,Normal
1849,Coffee Maker Nespresso Vertuo Next,2150378,2610123,459745,21.4,Normal
1850,Karpet Mobil Universal All New,364846,424114,59268,16.2,Normal
1851,Gold Edition Garam Himalaya 500g,55772,401450,345678,619.8,MARKUP GILA-GILAAN ⚠️
1852,Blush On NARS Orgasm,456559,523643,67084,14.7,Normal
1853,Protein Bar Quest Nutrition Box 12,344514,418156,73642,21.4,Normal
1854,Topi Snapback New Era,491321,572974,81653,16.6,Normal
1855,Madu Manuka UMF 20+ 500g,843607,912883,69276,8.2,Normal
1856,Microwave Sharp 27L,1178551,1260709,82158,7.0,Normal
1857,Karpet Mobil Universal All New,340804,385127,44323,13.0,Normal
1858,Samsung Galaxy S24 Ultra,18074609,21614086,3539477,19.6,Normal
1859,Samsung Galaxy S24 Ultra,18191217,20533610,2342393,12.9,Normal
1860,Sirup Monin Premium 700ml,115160,131182,16022,13.9,Normal
1861,Teh Darjeeling FTGFOP1 100g,267588,323846,56258,21.0,Normal
1862,Limited Kapas Kecantikan biasa 100pcs,62870,697201,634331,1009.0,MARKUP GILA-GILAAN ⚠️
1863,Kulkas Samsung Side by Side 700L,18281562,22576253,4294691,23.5,Normal
1864,Protein Whey Optimum Nutrition 5lb,725533,821437,95904,13.2,Normal
1865,Suplemen Vitamin C 1000mg 100 Tab,116387,124543,8156,7.0,Normal
1866,SSD Samsung 980 Pro 2TB,2926589,3385929,459340,15.7,Normal
1867,Cokelat Valrhona 70% 1kg,441818,534732,92914,21.0,Normal
1868,Realme GT5 Pro,8360767,8779873,419106,5.0,Normal
1869,Artisan Pulpen Pilot G2 0.5mm,75338,1033507,958169,1271.8,MARKUP GILA-GILAAN ⚠️
1870,Pelumas Rem Ate Brake Fluid DOT4,81788,86954,5166,6.3,Normal
1871,GPS Tracker Concox GT06N,441971,490258,48287,10.9,Normal
1872,MacBook Pro M3 14 inch,29026380,36046403,7020023,24.2,Normal
1873,Foundation MAC Studio Fix Fluid,586638,686589,99951,17.0,Normal
1874,Sepatu Vans Old Skool,855681,950561,94880,11.1,Normal
1875,Jam Tangan Casio G-Shock GA700,1191488,1410287,218799,18.4,Normal
1876,Parfum Chanel No. 5 100ml,3386488,4025981,639493,18.9,Normal
1877,Sepatu Formal Clarks Desert Boot,1730924,2091233,360309,20.8,Normal
1878,Buku Matematika Kumon Grade 7,66668,78688,12020,18.0,Normal
1879,Parfum Dior Sauvage 100ml,2855267,3491242,635975,22.3,Normal
1880,Coffee Maker Nespresso Vertuo Next,2191674,2560389,368715,16.8,Normal
1881,Router WiFi 6 ASUS AX6000,3399891,3614708,214817,6.3,Normal
1882,Buku Zero to One Peter Thiel,91966,105016,13050,14.2,Normal
1883,Minyak Zaitun Extra Virgin 1L,143737,172166,28429,19.8,Normal
1884,Rice Cooker Zojirushi 1.8L,2758921,2955839,196918,7.1,Normal
1885,Samsung 65 inch QLED TV,16269168,20254776,3985608,24.5,Normal
1886,Saus Truffle Urbani 180g,335950,411375,75425,22.5,Normal
1887,Matras Yoga Manduka PRO 6mm,1834519,2254228,419709,22.9,Normal
1888,Sepatu Formal Clarks Desert Boot,1782791,1977439,194648,10.9,Normal
1889,Xiaomi 14 Pro,11654510,13029189,1374679,11.8,Normal
1890,Special Lem Kertas UHU 21g,78223,759932,681709,871.5,MARKUP GILA-GILAAN ⚠️
1891,AC Daikin Inverter 1.5 PK,5505040,5983620,478580,8.7,Normal
1892,Kamus Bahasa Inggris Oxford Advanced,241339,266115,24776,10.3,Normal
1893,Apple Watch Series 9,7207301,8603418,1396117,19.4,Normal
1894,Rice Cooker Zojirushi 1.8L,2715657,3037047,321390,11.8,Normal
1895,GoPro Hero 12 Black,6119478,6630439,510961,8.3,Normal
1896,GPU NVIDIA RTX 4080,18836643,20515337,1678694,8.9,Normal
1897,Caviar Beluga 30g,2666013,2848253,182240,6.8,Normal
1898,Special Lem Kertas UHU 21g,20627,174002,153375,743.6,MARKUP GILA-GILAAN ⚠️
1899,Laptop Lenovo ThinkPad X1 Carbon,27028290,32184182,5155892,19.1,Normal
1900,VIP Lem Kertas UHU 21g,42547,212077,169530,398.5,MARKUP GILA-GILAAN ⚠️
1901,Microwave Sharp 27L,1167192,1296576,129384,11.1,Normal
1902,Processor Intel Core i9-14900K,9636987,11354490,1717503,17.8,Normal
1903,Exclusive Air Kelapa kemasan 330ml,15772,176284,160512,1017.7,MARKUP GILA-GILAAN ⚠️
1904,Car Audio Pioneer MVH-S215BT,841413,1048465,207052,24.6,Normal
1905,Artisan Air Kelapa kemasan 330ml,23475,133363,109888,468.1,MARKUP GILA-GILAAN ⚠️
1906,Special Garam Himalaya 500g,27390,415665,388275,1417.6,MARKUP GILA-GILAAN ⚠️
1907,PlayStation 5 Digital Edition,8727506,10417046,1689540,19.4,Normal
1908,Pelumas Rem Ate Brake Fluid DOT4,80974,91025,10051,12.4,Normal
1909,Ikat Pinggang Hermes,12499988,15346540,2846552,22.8,Normal
1910,Granola Organic Uncle Tobys 500g,99349,109598,10249,10.3,Normal
1911,iPhone 15 Pro Max 256GB,22225337,26863550,4638213,20.9,Normal
1912,Gold Edition Cotton Bud biasa 200pcs,62276,967511,905235,1453.6,MARKUP GILA-GILAAN ⚠️
1913,Ultra Kantong Plastik 'Eco' 1 pack,49804,535736,485932,975.7,MARKUP GILA-GILAAN ⚠️
1914,Shampo Kerastase Bain Satin 250ml,354094,403397,49303,13.9,Normal
1915,Premium Buku Tulis A5 biasa,48020,483738,435718,907.4,MARKUP GILA-GILAAN ⚠️
1916,Parfum Dior Sauvage 100ml,2680141,3308380,628239,23.4,Normal
1917,Jaket North Face Nuptse,4356632,4945657,589025,13.5,Normal
1918,Samsung 65 inch QLED TV,16733546,20756694,4023148,24.0,Normal
1919,Laptop Lenovo ThinkPad X1 Carbon,28755985,34649318,5893333,20.5,Normal
1920,Body Lotion Bath & Body Works,333547,382451,48904,14.7,Normal
1921,Sepatu Adidas Ultraboost 23,2137563,2288151,150588,7.0,Normal
1922,Ultra Kantong Plastik 'Eco' 1 pack,71288,1071159,999871,1402.6,MARKUP GILA-GILAAN ⚠️
1923,Protein Bar Quest Nutrition Box 12,355878,420621,64743,18.2,Normal
1924,DJI Mini 4 Pro Drone,10680126,12100801,1420675,13.3,Normal
1925,Gold Edition Selotip bening 1 roll,53606,837250,783644,1461.9,MARKUP GILA-GILAAN ⚠️
1926,Salmon Sashimi Grade 500g,284801,334185,49384,17.3,Normal
1927,Kondisioner Moroccanoil 250ml,305573,355892,50319,16.5,Normal
1928,Mouse Logitech MX Master 3,1447091,1743320,296229,20.5,Normal
1929,Exclusive Minuman Teh Kotak 200ml,9210,116716,107506,1167.3,MARKUP GILA-GILAAN ⚠️
1930,Premium Air Mineral Premium 500ml,55137,881847,826710,1499.4,MARKUP GILA-GILAAN ⚠️
1931,Organic Air Mineral Premium 500ml,9433,113403,103970,1102.2,MARKUP GILA-GILAAN ⚠️
1932,Kompor Tanam Rinnai 4 Tungku,3498223,4178288,680065,19.4,Normal
1933,Kamus Bahasa Inggris Oxford Advanced,243711,298478,54767,22.5,Normal
1934,Ultra Lem Kertas UHU 21g,77550,562846,485296,625.8,MARKUP GILA-GILAAN ⚠️
1935,iPad Pro 12.9 inch M2,17133963,20737350,3603387,21.0,Normal
1936,iPad Pro 12.9 inch M2,17991428,21915780,3924352,21.8,Normal
1937,Treadmill NordicTrack Commercial 2950,29160043,35791587,6631544,22.7,Normal
1938,Gloves Boxing Everlast Pro Style,503839,529821,25982,5.2,Normal
1939,Blender Vitamix 5200,6236863,6890310,653447,10.5,Normal
1940,Syal Burberry Classic Check,4779658,5434617,654959,13.7,Normal
1941,Celana Jeans Levi's 501,927453,1002860,75407,8.1,Normal
1942,Ultra Tisu Makan Premium 200 lembar,34829,477299,442470,1270.4,MARKUP GILA-GILAAN ⚠️
1943,Exclusive Hand Sanitizer 100ml,33134,172329,139195,420.1,MARKUP GILA-GILAAN ⚠️
1944,Artisan Beras Putih Premium 1kg,77862,409420,331558,425.8,MARKUP GILA-GILAAN ⚠️
1945,iPad Pro 12.9 inch M2,17457840,19785846,2328006,13.3,Normal
1946,Mouse Logitech MX Master 3,1520380,1845085,324705,21.4,Normal
1947,Exclusive Cotton Bud biasa 200pcs,29985,240306,210321,701.4,MARKUP GILA-GILAAN ⚠️
1948,Kopi Luwak Premium 200g,338716,385985,47269,14.0,Normal
1949,Protein Bar Quest Nutrition Box 12,346855,369507,22652,6.5,Normal
1950,Router WiFi 6 ASUS AX6000,3428160,4060775,632615,18.5,Normal
1951,Special Obat Paracetamol 500mg strip,52709,366029,313320,594.4,MARKUP GILA-GILAAN ⚠️
1952,GPS Tracker Concox GT06N,436368,493993,57625,13.2,Normal
1953,Xbox Series X,8124862,8931473,806611,9.9,Normal
1954,Rice Cooker Zojirushi 1.8L,2823101,3068498,245397,8.7,Normal
1955,Luxury Penggaris 30cm plastik,23076,263174,240098,1040.5,MARKUP GILA-GILAAN ⚠️
1956,Toaster Oven Breville BOV900BSS,5316340,5912065,595725,11.2,Normal
1957,Buku Thinking Fast and Slow,107406,133015,25609,23.8,Normal
1958,VIP Garam Himalaya 500g,50252,407833,357581,711.6,MARKUP GILA-GILAAN ⚠️
1959,Earphone TWS Sony WF-1000XM5,3480142,4211217,731075,21.0,Normal
1960,Samsung Galaxy Watch 6,4520558,5164727,644169,14.2,Normal
1961,Caviar Beluga 30g,2847480,3488111,640631,22.5,Normal
1962,Helm Sepeda Giro Aether MIPS,4508984,5199486,690502,15.3,Normal
1963,DJI Mini 4 Pro Drone,11200598,12259751,1059153,9.5,Normal
1964,Sepatu Nike Air Jordan 1 High,2407923,2643645,235722,9.8,Normal
1965,Sony WH-1000XM5 Headphone,4509358,5413185,903827,20.0,Normal
1966,OPPO Find X7 Ultra,14592387,17037243,2444856,16.8,Normal
1967,Syal Burberry Classic Check,4918514,5220108,301594,6.1,Normal
1968,Novel Harry Potter Complete Set,871751,960352,88601,10.2,Normal
1969,PlayStation 5 Digital Edition,8646099,10322234,1676135,19.4,Normal
1970,Blush On NARS Orgasm,488868,565931,77063,15.8,Normal
1971,Parfum Dior Sauvage 100ml,2796817,3271706,474889,17.0,Normal
1972,Portable Charger Anker 26800mAh,617530,713646,96116,15.6,Normal
1973,Organic Obat Paracetamol 500mg strip,53033,345130,292097,550.8,MARKUP GILA-GILAAN ⚠️
1974,Krim Malam La Mer Moisturizing 60ml,4478985,5444778,965793,21.6,Normal
1975,SSD Samsung 980 Pro 2TB,2796639,3234314,437675,15.7,Normal
1976,Protein Whey Optimum Nutrition 5lb,736186,808576,72390,9.8,Normal
1977,Caviar Beluga 30g,2863781,3304176,440395,15.4,Normal
1978,Canon EOS R6 Mark II,36730804,40706387,3975583,10.8,Normal
1979,Buku Thinking Fast and Slow,109642,121678,12036,11.0,Normal
1980,Apple Watch Series 9,7207782,8126095,918313,12.7,Normal
1981,Raket Badminton Yonex Astrox 99,3098368,3786522,688154,22.2,Normal
1982,Canon EOS R6 Mark II,37938027,44954294,7016267,18.5,Normal
1983,Kulkas Samsung Side by Side 700L,18644163,22387543,3743380,20.1,Normal
1984,Champagne Moet & Chandon 750ml,967426,1035965,68539,7.1,Normal
1985,Deodorant Dove Original 150ml,43422,53543,10121,23.3,Normal
1986,Sepatu Running Brooks Ghost 15,1963740,2231170,267430,13.6,Normal
1987,Coffee Maker Nespresso Vertuo Next,2230396,2713337,482941,21.7,Normal
1988,Mesin Cuci Samsung Front Load 9kg,5353254,6299316,946062,17.7,Normal
1989,Mascara Maybelline Volum Express,142522,164350,21828,15.3,Normal
1990,Caviar Beluga 30g,2844336,3310554,466218,16.4,Normal
1991,Madu Manuka UMF 20+ 500g,875066,921966,46900,5.4,Normal
1992,Raket Badminton Yonex Astrox 99,3041731,3204614,162883,5.4,Normal
1993,Sepatu Nike Air Jordan 1 High,2552472,3085162,532690,20.9,Normal
1994,Sepatu Running Brooks Ghost 15,1928967,2404178,475211,24.6,Normal
1995,Apple Watch Series 9,7368505,8594962,1226457,16.6,Normal
1996,Ikat Pinggang Hermes,11408363,12936107,1527744,13.4,Normal
1997,Masker Rambut Olaplex No.8 100ml,388886,475117,86231,22.2,Normal
1998,Matras Yoga Manduka PRO 6mm,1798693,2072423,273730,15.2,Normal
1999,Salmon Sashimi Grade 500g,285203,337351,52148,18.3,Normal
2000,Sneakers New Balance 990v6,2764040,3354249,590209,21.4,Normal
